1 true_sum = 653, estimate_sum = 653, error = 0.000%
2 true_sum = 806, estimate_sum = 806, error = 0.000%
3 true_sum = 1446, estimate_sum = 1446, error = 0.000%
4 true_sum = 1759, estimate_sum = 1759, error = 0.000%
5 true_sum = 2432, estimate_sum = 2432, error = 0.000%
6 true_sum = 3304, estimate_sum = 3304, error = 0.000%
7 true_sum = 3878, estimate_sum = 3878, error = 0.000%
8 true_sum = 4524, estimate_sum = 4524, error = 0.000%
9 true_sum = 5231, estimate_sum = 5231, error = 0.000%
10 true_sum = 5562, estimate_sum = 5562, error = 0.000%
11 true_sum = 6119, estimate_sum = 6119, error = 0.000%
12 true_sum = 6470, estimate_sum = 6470, error = 0.000%
13 true_sum = 7189, estimate_sum = 7189, error = 0.000%
14 true_sum = 7737, estimate_sum = 7737, error = 0.000%
15 true_sum = 8015, estimate_sum = 8015, error = 0.000%
16 true_sum = 8907, estimate_sum = 8907, error = 0.000%
17 true_sum = 9620, estimate_sum = 9620, error = 0.000%
18 true_sum = 9793, estimate_sum = 9793, error = 0.000%
19 true_sum = 10635, estimate_sum = 10635, error = 0.000%
20 true_sum = 11527, estimate_sum = 11527, error = 0.000%
21 true_sum = 12354, estimate_sum = 12354, error = 0.000%
22 true_sum = 12946, estimate_sum = 12946, error = 0.000%
23 true_sum = 13075, estimate_sum = 13075, error = 0.000%
24 true_sum = 13262, estimate_sum = 13262, error = 0.000%
25 true_sum = 13771, estimate_sum = 13771, error = 0.000%
26 true_sum = 13939, estimate_sum = 13939, error = 0.000%
27 true_sum = 14669, estimate_sum = 14669, error = 0.000%
28 true_sum = 15661, estimate_sum = 15661, error = 0.000%
29 true_sum = 16031, estimate_sum = 16031, error = 0.000%
30 true_sum = 16900, estimate_sum = 16900, error = 0.000%
31 true_sum = 17918, estimate_sum = 17918, error = 0.000%
32 true_sum = 18685, estimate_sum = 18685, error = 0.000%
33 true_sum = 19362, estimate_sum = 19362, error = 0.000%
34 true_sum = 19382, estimate_sum = 19382, error = 0.000%
35 true_sum = 20304, estimate_sum = 20304, error = 0.000%
36 true_sum = 21298, estimate_sum = 21298, error = 0.000%
37 true_sum = 21770, estimate_sum = 21770, error = 0.000%
38 true_sum = 22395, estimate_sum = 22395, error = 0.000%
39 true_sum = 22565, estimate_sum = 22565, error = 0.000%
40 true_sum = 23190, estimate_sum = 23190, error = 0.000%
41 true_sum = 23973, estimate_sum = 23973, error = 0.000%
42 true_sum = 24797, estimate_sum = 24797, error = 0.000%
43 true_sum = 25666, estimate_sum = 25666, error = 0.000%
44 true_sum = 26141, estimate_sum = 26141, error = 0.000%
45 true_sum = 26225, estimate_sum = 26225, error = 0.000%
46 true_sum = 26583, estimate_sum = 26583, error = 0.000%
47 true_sum = 27437, estimate_sum = 27437, error = 0.000%
48 true_sum = 28073, estimate_sum = 28073, error = 0.000%
49 true_sum = 28291, estimate_sum = 28291, error = 0.000%
50 true_sum = 28501, estimate_sum = 28501, error = 0.000%
51 true_sum = 29212, estimate_sum = 29212, error = 0.000%
52 true_sum = 30117, estimate_sum = 30117, error = 0.000%
53 true_sum = 30428, estimate_sum = 30428, error = 0.000%
54 true_sum = 30698, estimate_sum = 30698, error = 0.000%
55 true_sum = 31245, estimate_sum = 31245, error = 0.000%
56 true_sum = 31890, estimate_sum = 31890, error = 0.000%
57 true_sum = 32620, estimate_sum = 32620, error = 0.000%
58 true_sum = 32848, estimate_sum = 32848, error = 0.000%
59 true_sum = 33631, estimate_sum = 33631, error = 0.000%
60 true_sum = 34067, estimate_sum = 34067, error = 0.000%
61 true_sum = 34831, estimate_sum = 34831, error = 0.000%
62 true_sum = 35038, estimate_sum = 35038, error = 0.000%
63 true_sum = 35228, estimate_sum = 35228, error = 0.000%
64 true_sum = 35348, estimate_sum = 35348, error = 0.000%
65 true_sum = 35430, estimate_sum = 35430, error = 0.000%
66 true_sum = 36452, estimate_sum = 36452, error = 0.000%
67 true_sum = 37169, estimate_sum = 37169, error = 0.000%
68 true_sum = 37625, estimate_sum = 37625, error = 0.000%
69 true_sum = 38410, estimate_sum = 38410, error = 0.000%
70 true_sum = 38459, estimate_sum = 38459, error = 0.000%
71 true_sum = 38632, estimate_sum = 38632, error = 0.000%
72 true_sum = 39112, estimate_sum = 39112, error = 0.000%
73 true_sum = 39167, estimate_sum = 39167, error = 0.000%
74 true_sum = 39775, estimate_sum = 39775, error = 0.000%
75 true_sum = 40087, estimate_sum = 40087, error = 0.000%
76 true_sum = 40823, estimate_sum = 40823, error = 0.000%
77 true_sum = 41739, estimate_sum = 41739, error = 0.000%
78 true_sum = 42684, estimate_sum = 42684, error = 0.000%
79 true_sum = 42800, estimate_sum = 42800, error = 0.000%
80 true_sum = 43294, estimate_sum = 43294, error = 0.000%
81 true_sum = 44008, estimate_sum = 44008, error = 0.000%
82 true_sum = 44028, estimate_sum = 44028, error = 0.000%
83 true_sum = 44530, estimate_sum = 44530, error = 0.000%
84 true_sum = 44636, estimate_sum = 44636, error = 0.000%
85 true_sum = 44862, estimate_sum = 44862, error = 0.000%
86 true_sum = 45450, estimate_sum = 45450, error = 0.000%
87 true_sum = 45567, estimate_sum = 45567, error = 0.000%
88 true_sum = 45709, estimate_sum = 45709, error = 0.000%
89 true_sum = 46584, estimate_sum = 46584, error = 0.000%
90 true_sum = 47499, estimate_sum = 47499, error = 0.000%
